item_id;item_nome;valor_plan;incc_id;incc_plan;grupo;classe
00.000.012.001;CONTENÇÕES - MÃO DE OBRA/EMPREITADA;264240,73;1153,725;229,033;CONTENÇÕES;MÃO DE OBRA/EMPREITADA
00.000.012.002;CONTENÇÕES - MATERIAL;400203,51;1153,725;346,879;CONTENÇÕES;MATERIAL
00.000.013.001;MOVIMENTAÇÃO DE TERRA - MÃO DE OBRA/EMPREITADA;150000;1153,725;130,014;MOVIMENTAÇÃO DE TERRA;MÃO DE OBRA/EMPREITADA
00.000.014.001;FUNDAÇÕES - MÃO DE OBRA/EMPREITADA;269650,24;1153,725;233,721;FUNDAÇÕES;MÃO DE OBRA/EMPREITADA
00.000.014.002;FUNDAÇÕES - MATERIAL;546208,87;1153,725;473,431;FUNDAÇÕES;MATERIAL
00.000.015.001;ESTRUTURA - MÃO DE OBRA/EMPREITADA;2607042,4;1153,725;2259,674;ESTRUTURA;MÃO DE OBRA/EMPREITADA
00.000.015.002;ESTRUTURA - MATERIAL;3091942;1153,725;2679,964;ESTRUTURA;MATERIAL
00.000.016.001;PAREDES E VEDAÇÕES - MÃO DE OBRA/EMPREITADA;611030,89;1153,725;529,616;PAREDES E VEDAÇÕES;MÃO DE OBRA/EMPREITADA
00.000.016.002;PAREDES E VEDAÇÕES - MATERIAL;737532,43;1153,725;639,262;PAREDES E VEDAÇÕES;MATERIAL
00.000.017.001;PAVIMENTAÇÕES - MÃO DE OBRA/EMPREITADA;722920,64;1153,725;626,597;PAVIMENTAÇÕES;MÃO DE OBRA/EMPREITADA
00.000.017.002;PAVIMENTAÇÕES - MATERIAL;921259,55;1153,725;798,509;PAVIMENTAÇÕES;MATERIAL
00.000.018.001;REVESTIMENTOS - MÃO DE OBRA/EMPREITADA;809380,17;1153,725;701,536;REVESTIMENTOS;MÃO DE OBRA/EMPREITADA
00.000.018.002;REVESTIMENTOS - MATERIAL;835247,95;1153,725;723,958;REVESTIMENTOS;MATERIAL
